Method,Accuracy,Precision,Recall,F1-Score
1,0.986,0.97,0.973,0.971
1,0.98,0.914,1,0.955
1,0.991,0.983,0.982,0.982
1,0.987,0.974,0.972,0.973
1,0.997,0.994,0.995,0.994
1,0.987,0.973,0.973,0.972
1,0.994,0.989,0.986,0.988
1,0.991,0.982,0.981,0.982
1,1,1,1,1
1,0.988,0.978,0.978,0.978
2,0.91,0.825,0.822,0.818
2,0.94,0.881,0.883,0.881
2,0.952,0.905,0.898,0.899
2,0.934,0.876,0.868,0.87
2,0.946,0.891,0.893,0.892
2,0.945,0.888,0.896,0.891
2,0.941,0.884,0.891,0.884
2,0.918,0.84,0.842,0.837
2,0.923,0.849,0.852,0.848
2,0.923,0.848,0.847,0.845